group,page,slug,wp_id,status,implemented,cur_title,cur_meta,rec_title,rec_meta,note
Articles,What Companies Build vs Boards Need,/resources/what-most-companies-build-vs-what-boards-need/,591,fix,yes,What Most Companies Build vs. What Boards Actually Need - Get Pacer AI,,What Companies Build vs. What Boards Need | Pacer AI,Most SaaS reporting answers the wrong question. What boards and sponsors actually need from your ARR model — and how to close the gap.,Add meta; brand
Articles,Semrush x Adobe case study,/semrush-adobe-acquisition-case-study/,888,minor,yes,Case Study: How Semrush got a premium valuation & purchase price from Adobe | Pacer AI,"How Semrush got acquired by Adobe for $1.9B (3.8x NTM rev, 77% premium) despite slowing growth—the RevOps playbook, from SEC filings.",Semrush × Adobe: An M&A Read on a Premium Exit | Pacer AI,"How Semrush was acquired by Adobe for $1.9B (3.8x NTM, 77% premium) despite slowing growth — the ARR-quality read, from SEC filings.",Shorten title; root URL (fine to leave)
Articles,Why LLMs Can't Build Your Snowball,/resources/why-llms-cant-build-your-arr-snowball-from-operational-data/,441,minor,yes,Why LLMs Can't Build Your ARR Snowball from Operational Data — Pacer AI,"LLMs cannot reliably build ARR snowballs from CRM, billing, or ERP data. Learn why rule-based calculations and expert judgment are required — not chat agents.",Why LLMs Can't Build Your ARR Snowball | Pacer AI,,Trim title only; keep current meta
Articles,What Is an ARR Snowball?,/resources/what-is-an-arr-snowball-understanding-revenue-growth/,378,minor,yes,What Is an ARR Snowball? Understanding Revenue Growth — Pacer AI,"An ARR snowball tracks how Annual Recurring Revenue grows or shrinks by decomposing changes into new business, expansion, contraction, and churn over time.",What Is an ARR Snowball? Definition & Guide | Pacer AI,,Trim title only; keep current meta
Articles,Prevent Churn in High-Value Accounts,/resources/prevent-churn-in-high-value-accounts-with-arr-snowball/,376,minor,yes,Prevent Churn in High-Value Accounts with ARR Snowball — Pacer AI,Prevent churn in high-value SaaS accounts by monitoring leading indicators and using ARR snowball analysis to surface at-risk customers before renewal dates.,Prevent Churn in High-Value Accounts | Pacer AI,,Trim title only; keep current meta
Articles,ARR Snowball Analysis: Expansion Drivers,/resources/arr-snowball-analysis-find-your-expansion-drivers/,368,minor,yes,ARR Snowball Analysis: Find Your Expansion Drivers — Pacer AI,"Use ARR snowball analysis to identify which expansion levers drive the most growth — upsell patterns, cross-sell opportunities, and net revenue retention by cohort.",ARR Snowball Analysis: Find Expansion Drivers | Pacer AI,Use ARR snowball analysis to find your biggest expansion levers — upsell and cross-sell patterns and net revenue retention by cohort.,Trim meta to <155
Articles,Why ARR Waterfall Models Matter,/resources/why-arr-waterfall-models-matter-for-saas-growth/,358,ok,yes,Why ARR Waterfall Models Matter for SaaS Growth — Pacer AI,"ARR waterfall models break down period-over-period revenue changes into new, expansion, contraction, and churn — revealing the drivers behind SaaS growth.",Why ARR Waterfall Models Matter for SaaS Growth | Pacer AI,,Keep; optional brand-suffix swap
Articles,AI for RevOps,/resources/using-ai-to-enable-revops-without-breaking-your-gtm/,360,fix,yes,Using AI to Enable RevOps (Without Breaking Your GTM) — Pacer AI,"How to deploy AI in revenue operations without breaking your GTM workflows. Practical guidance for PE-backed SaaS operators on data unification, anomaly detection, and predictive analytics.",AI for RevOps — Without Breaking Your GTM | Pacer AI,"How to deploy AI in revenue operations without breaking your GTM — data unification, anomaly detection, and where an always-on agent fits.",Trim meta (189 -> <155)
Keep+Meta,SaaS Metrics Glossary,/glossary/,0,fix,no,SaaS Metrics Glossary - Get Pacer AI,,SaaS Metrics Glossary | Pacer AI,"A plain-English glossary of SaaS revenue metrics — ARR, NRR/GRR, ARR waterfall, cRPO, and more — for operators and finance leaders.",DefinedTerm target; add meta
Keep+Meta,ARR Waterfall (glossary),/glossary/arr-waterfall/,0,fix,no,ARR Waterfall - Get Pacer AI,,ARR Waterfall — Definition | Pacer AI,"ARR waterfall: the period-over-period decomposition of recurring revenue into new, expansion, contraction, and churn. Definition and how it's used.",DefinedTerm target; add meta
Keep+Meta,ARR Snowball vs ARR Waterfall,/resources/arr-snowball-vs-waterfall/,0,fix,no,ARR Snowball vs. ARR Waterfall: Which Model Should You Use? - Get Pacer AI,,ARR Snowball vs. ARR Waterfall: Which to Use | Pacer AI,"ARR snowball vs ARR waterfall — what each model shows, when to use which, and how they fit together for board and diligence reporting.",Add meta; confirm repo source of truth
Redirect,/pricing/,/pricing/,111,redirect,no,,,,,"301 -> /#pricing (stale: live meta still says $2,000/mo)"
Redirect,/what-is-an-arr-waterfall/ (root dupe),/what-is-an-arr-waterfall/,873,redirect,no,,,,,301 -> /resources/what-is-an-arr-waterfall/
Redirect,/crpo-vs-arr/ (root dupe),/crpo-vs-arr/,0,redirect,no,,,,,301 -> /resources/what-is-current-performance-obligation/
Redirect,/solutions/arr-snowball-board-reporting/,/solutions/arr-snowball-board-reporting/,372,redirect,no,,,,,301 -> /
Redirect,/solutions/customer-data-cube/,/solutions/customer-data-cube/,373,redirect,no,,,,,301 -> /
Redirect,/solutions/transaction-readiness/,/solutions/transaction-readiness/,554,redirect,no,,,,,301 -> /
Redirect,/solutions/revops-transformation-pkg/,/solutions/revops-transformation-pkg/,651,redirect,no,,,,,301 -> /
Redirect,/solutions/gtm-transformation-pkg/,/solutions/gtm-transformation-pkg/,650,redirect,no,,,,,301 -> /
Redirect,/solutions/fpanda-transformation-pkg/,/solutions/fpanda-transformation-pkg/,652,redirect,no,,,,,301 -> /
